problem_feature_map_id,problem_id,feature_id,feature_value_id,value_numeric,value_text,truth_status,is_defining,conditions,confidence,source_ids,last_verified
PFM00053,PA004,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S080;S056,2026-07-13
PFM00054,PA004,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S080;S056,2026-07-13
PFM00055,PA004,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S080;S056,2026-07-13
PFM00056,PA004,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S080;S056,2026-07-13
PFM00057,PA004,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S080;S056,2026-07-13
PFM00058,PA004,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S080;S056,2026-07-13
PFM00059,PA004,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S080;S056,2026-07-13
PFM00060,PA005,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S003;S056,2026-07-13
PFM00061,PA005,F_OBJECTIVE_FORM,FV0013,,,yes,yes,,high,S003;S056,2026-07-13
PFM00062,PA005,F_CONVEXITY,FV0019,,,yes,yes,,high,S003;S056,2026-07-13
PFM00063,PA005,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S003;S056,2026-07-13
PFM00064,PA005,F_DERIVATIVE_ACCESS,FV0035,,,yes,yes,,high,S003;S056,2026-07-13
PFM00065,PA005,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S003;S056,2026-07-13
PFM00066,PA005,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S003;S056,2026-07-13
PFM00067,PA005,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S003;S056,2026-07-13
PFM00068,PA005,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S003;S056,2026-07-13
PFM00069,PA005,F_SOLUTION_GOAL,FV0071,,,yes,yes,,high,S003;S056,2026-07-13
PFM00070,PA005,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S003;S056,2026-07-13
PFM00071,PA005,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S003;S056,2026-07-13
PFM00072,PA005,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S003;S056,2026-07-13
PFM00073,PA005,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S003;S056,2026-07-13
PFM00074,PA005,F_STRUCTURE_NONLINEAR_LEAST_SQUARES,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S003;S056,2026-07-13
PFM00075,PA005,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S003;S056,2026-07-13
PFM00076,PA006,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S002;S056,2026-07-13
PFM00077,PA006,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S002;S056,2026-07-13
PFM00078,PA006,F_CONVEXITY,FV0022,,,yes,yes,,high,S002;S056,2026-07-13
PFM00079,PA006,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S002;S056,2026-07-13
PFM00080,PA006,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S002;S056,2026-07-13
PFM00081,PA006,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S002;S056,2026-07-13
PFM00082,PA006,F_DIMENSION_CONTEXT,FV0054,,,yes,yes,,high,S002;S056,2026-07-13
PFM00083,PA006,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S002;S056,2026-07-13
PFM00084,PA006,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S002;S056,2026-07-13
PFM00085,PA006,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S002;S056,2026-07-13
PFM00086,PA006,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S002;S056,2026-07-13
PFM00087,PA006,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S002;S056,2026-07-13
PFM00088,PA006,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S002;S056,2026-07-13
PFM00089,PA006,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S002;S056,2026-07-13
PFM00090,PA007,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00091,PA007,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00092,PA007,F_CONVEXITY,FV0022,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00093,PA007,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00094,PA007,F_DERIVATIVE_ACCESS,FV0031,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00095,PA007,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00096,PA007,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00097,PA007,F_EVALUATION_COST,FV0060,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00098,PA007,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00099,PA007,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00100,PA007,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00101,PA007,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00102,PA007,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00103,PA007,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S019;S046;S056,2026-07-13
PFM00104,PA007,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S019;S046;S056,2026-07-13
PFM00105,PA008,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S002;S065,2026-07-13
PFM00106,PA008,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S002;S065,2026-07-13
PFM00107,PA008,F_CONVEXITY,FV0022,,,yes,yes,,high,S002;S065,2026-07-13
PFM00108,PA008,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S002;S065,2026-07-13
PFM00109,PA008,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S002;S065,2026-07-13
PFM00110,PA008,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S002;S065,2026-07-13
PFM00111,PA008,F_DIMENSION_CONTEXT,FV0055,,,yes,yes,,high,S002;S065,2026-07-13
PFM00112,PA008,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S002;S065,2026-07-13
PFM00113,PA008,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S002;S065,2026-07-13
PFM00114,PA008,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S002;S065,2026-07-13
PFM00115,PA008,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S002;S065,2026-07-13
PFM00116,PA008,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S002;S065,2026-07-13
PFM00117,PA008,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S002;S065,2026-07-13
PFM00118,PA008,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S002;S065,2026-07-13
PFM00119,PA009,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00120,PA009,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00121,PA009,F_CONVEXITY,FV0022,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00122,PA009,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00123,PA009,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00124,PA009,F_CONSTRAINT_CLASS,FV0045,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00125,PA009,F_DIMENSION_CONTEXT,FV0055,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00126,PA009,F_EVALUATION_COST,FV0060,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00127,PA009,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00128,PA009,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00129,PA009,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00130,PA009,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00131,PA009,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00132,PA009,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S017;S029;S030;S056,2026-07-13
PFM00133,PA009,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S017;S029;S030;S056,2026-07-13
PFM00134,PA010,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00135,PA010,F_OBJECTIVE_FORM,FV0014,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00136,PA010,F_CONVEXITY,FV0019,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00137,PA010,F_SMOOTHNESS,FV0026,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00138,PA010,F_DERIVATIVE_ACCESS,FV0034,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00139,PA010,F_CONSTRAINT_CLASS,FV0041,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00140,PA010,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00141,PA010,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00142,PA010,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00143,PA010,F_SOLUTION_GOAL,FV0069,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00144,PA010,F_SCALE_STRUCTURE,FV0078,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00145,PA010,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00146,PA010,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00147,PA010,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S055;S066;S067,2026-07-13
PFM00148,PA010,F_STRUCTURE_SEPARABLE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S055;S066;S067,2026-07-13
PFM00149,PA011,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00150,PA011,F_OBJECTIVE_FORM,FV0015,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00151,PA011,F_CONVEXITY,FV0022,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00152,PA011,F_SMOOTHNESS,FV0026,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00153,PA011,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00154,PA011,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00155,PA011,F_DIMENSION_CONTEXT,FV0054,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00156,PA011,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00157,PA011,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00158,PA011,F_SOLUTION_GOAL,FV0068,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00159,PA011,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00160,PA011,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00161,PA011,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00162,PA011,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S018;S031;S060,2026-07-13
PFM00163,PA012,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S031;S033,2026-07-13
PFM00164,PA012,F_OBJECTIVE_FORM,FV0016,,,yes,yes,,high,S031;S033,2026-07-13
PFM00165,PA012,F_CONVEXITY,FV0022,,,yes,yes,,high,S031;S033,2026-07-13
PFM00166,PA012,F_SMOOTHNESS,FV0027,,,yes,yes,,high,S031;S033,2026-07-13
PFM00167,PA012,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S031;S033,2026-07-13
PFM00168,PA012,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S031;S033,2026-07-13
PFM00169,PA012,F_DIMENSION_CONTEXT,FV0054,,,yes,yes,,high,S031;S033,2026-07-13
PFM00170,PA012,F_EVALUATION_COST,FV0060,,,yes,yes,,high,S031;S033,2026-07-13
PFM00171,PA012,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S031;S033,2026-07-13
PFM00172,PA012,F_SOLUTION_GOAL,FV0070,,,yes,yes,,high,S031;S033,2026-07-13
PFM00173,PA012,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S031;S033,2026-07-13
PFM00174,PA012,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S031;S033,2026-07-13
PFM00175,PA012,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S031;S033,2026-07-13
PFM00176,PA012,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S031;S033,2026-07-13
PFM00177,PA013,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00178,PA013,F_OBJECTIVE_FORM,FV0016,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00179,PA013,F_CONVEXITY,FV0022,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00180,PA013,F_SMOOTHNESS,FV0026,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00181,PA013,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00182,PA013,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00183,PA013,F_DIMENSION_CONTEXT,FV0054,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00184,PA013,F_EVALUATION_COST,FV0060,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00185,PA013,F_NOISE_LEVEL,FV0065,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00186,PA013,F_SOLUTION_GOAL,FV0070,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00187,PA013,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00188,PA013,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00189,PA013,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00190,PA013,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S032;S035;S059,2026-07-13
PFM00191,PA014,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00192,PA014,F_OBJECTIVE_FORM,FV0016,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00193,PA014,F_CONVEXITY,FV0023,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00194,PA014,F_SMOOTHNESS,FV0029,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00195,PA014,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00196,PA014,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00197,PA014,F_DIMENSION_CONTEXT,FV0053,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00198,PA014,F_EVALUATION_COST,FV0062,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00199,PA014,F_NOISE_LEVEL,FV0064,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00200,PA014,F_SOLUTION_GOAL,FV0070,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00201,PA014,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00202,PA014,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00203,PA014,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00204,PA014,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S035;S059;S075,2026-07-13
PFM00205,PA015,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S033;S035,2026-07-13
PFM00206,PA015,F_OBJECTIVE_FORM,FV0016,,,yes,yes,,high,S033;S035,2026-07-13
PFM00207,PA015,F_CONVEXITY,FV0022,,,yes,yes,,high,S033;S035,2026-07-13
PFM00208,PA015,F_SMOOTHNESS,FV0029,,,yes,yes,,high,S033;S035,2026-07-13
PFM00209,PA015,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S033;S035,2026-07-13
PFM00210,PA015,F_CONSTRAINT_CLASS,FV0042,,,yes,yes,,high,S033;S035,2026-07-13
PFM00211,PA015,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S033;S035,2026-07-13
PFM00212,PA015,F_EVALUATION_COST,FV0061,,,yes,yes,,high,S033;S035,2026-07-13
PFM00213,PA015,F_NOISE_LEVEL,FV0067,,,yes,yes,,high,S033;S035,2026-07-13
PFM00214,PA015,F_SOLUTION_GOAL,FV0070,,,yes,yes,,high,S033;S035,2026-07-13
PFM00215,PA015,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S033;S035,2026-07-13
PFM00216,PA015,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S033;S035,2026-07-13
PFM00217,PA015,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S033;S035,2026-07-13
PFM00218,PA015,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S033;S035,2026-07-13
PFM00219,PA016,F_VARIABLE_DOMAIN,FV0005,,,yes,yes,,high,S031;S035,2026-07-13
PFM00220,PA016,F_OBJECTIVE_FORM,FV0016,,,yes,yes,,high,S031;S035,2026-07-13
PFM00221,PA016,F_CONVEXITY,FV0022,,,yes,yes,,high,S031;S035,2026-07-13
PFM00222,PA016,F_SMOOTHNESS,FV0027,,,yes,yes,,high,S031;S035,2026-07-13
PFM00223,PA016,F_DERIVATIVE_ACCESS,FV0037,,,yes,yes,,high,S031;S035,2026-07-13
PFM00224,PA016,F_CONSTRAINT_CLASS,FV0052,,,yes,yes,,high,S031;S035,2026-07-13
PFM00225,PA016,F_DIMENSION_CONTEXT,FV0055,,,yes,yes,,high,S031;S035,2026-07-13
PFM00226,PA016,F_EVALUATION_COST,FV0061,,,yes,yes,,high,S031;S035,2026-07-13
PFM00227,PA016,F_NOISE_LEVEL,FV0067,,,yes,yes,,high,S031;S035,2026-07-13
PFM00228,PA016,F_SOLUTION_GOAL,FV0073,,,yes,yes,,high,S031;S035,2026-07-13
PFM00229,PA016,F_SCALE_STRUCTURE,FV0075,,,yes,yes,,high,S031;S035,2026-07-13
PFM00230,PA016,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S031;S035,2026-07-13
PFM00231,PA016,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S031;S035,2026-07-13
PFM00232,PA016,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S031;S035,2026-07-13
PFM00233,PA017,F_VARIABLE_DOMAIN,FV0001,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00234,PA017,F_OBJECTIVE_FORM,FV0011,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00235,PA017,F_CONVEXITY,FV0019,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00236,PA017,F_SMOOTHNESS,FV0024,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00237,PA017,F_DERIVATIVE_ACCESS,FV0030,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00238,PA017,F_CONSTRAINT_CLASS,FV0043,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00239,PA017,F_DIMENSION_CONTEXT,FV0056,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00240,PA017,F_EVALUATION_COST,FV0059,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00241,PA017,F_NOISE_LEVEL,FV0063,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00242,PA017,F_SOLUTION_GOAL,FV0071,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00243,PA017,F_SCALE_STRUCTURE,FV0076,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00244,PA017,F_EVALUATION_RELIABILITY,FV0080,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00245,PA017,F_REPEATED_SOLVE,FV0085,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00246,PA017,F_PARALLEL_BUDGET,FV0089,,,yes,yes,,high,S004;S016;S055,2026-07-13
PFM00247,PA017,F_STRUCTURE_LP,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S004;S016;S055,2026-07-13
PFM00248,PA017,F_STRUCTURE_SPARSE,,,,yes,conditional,Archetype-level inferred structure; confirm on the concrete instance.,medium,S004;S016;S055,2026-07-13
